OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
Return_to_owner,Dog,Neutered Male,52.0,other,Brown/White
Euthanasia,Cat,Spayed Female,52.0,Domestic Shorthair Mix,Cream Tabby
Adoption,Dog,Neutered Male,104.0,Pit Bull Mix,Blue/White
Transfer,Cat,Intact Male,3.0,Domestic Shorthair Mix,other
Transfer,Dog,Neutered Male,104.0,other,Tan
Transfer,Dog,Intact Female,4.5,other,Black/Tan
Transfer,Cat,Intact Male,3.0,Domestic Shorthair Mix,Blue Tabby
Adoption,Dog,Spayed Female,22.5,other,Red/White
Adoption,Dog,Spayed Female,52.0,other,White
Adoption,Dog,Spayed Female,104.0,Miniature Schnauzer Mix,other
Adoption,Dog,Neutered Male,208.0,Pit Bull Mix,Brown
Return_to_owner,Dog,Neutered Male,104.0,Yorkshire Terrier Mix,other
Return_to_owner,Dog,Neutered Male,52.0,other,other
Adoption,Cat,Neutered Male,13.5,Domestic Shorthair Mix,Orange Tabby/White
Transfer,Cat,Intact Male,3.0,Domestic Shorthair Mix,Brown Tabby
Transfer,Dog,Intact Female,2.0,Pit Bull Mix,Brown/White
Transfer,Cat,Intact Female,104.0,other,White
Return_to_owner,Dog,Neutered Male,52.0,other,Black
Transfer,Dog,Intact Male,9.0,other,Black/White
Transfer,Cat,Spayed Female,52.0,Domestic Shorthair Mix,White
Adoption,Dog,Spayed Female,104.0,other,Brown Brindle/White
Adoption,Dog,Neutered Male,45.0,German Shepherd Mix,Brown/White
Return_to_owner,Dog,Neutered Male,9.0,German Shepherd Mix,Black/Brown
Transfer,Cat,Intact Female,4.5,Domestic Shorthair Mix,Orange Tabby
Adoption,Dog,Spayed Female,27.0,other,Chocolate/White
Adoption,Dog,Spayed Female,260.0,Chihuahua Shorthair Mix,White/Tan
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,other
Return_to_owner,Cat,Neutered Male,364.0,other,Blue
Euthanasia,Cat,Spayed Female,156.0,Domestic Shorthair Mix,Calico
Transfer,Dog,Intact Male,18.0,Labrador Retriever Mix,Black/White
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Torbie
Return_to_owner,Dog,Neutered Male,260.0,other,Brown/Black
Transfer,Dog,Neutered Male,156.0,Chihuahua Shorthair Mix,Brown
Euthanasia,Dog,Intact Male,156.0,Labrador Retriever Mix,Yellow
Return_to_owner,Dog,Neutered Male,156.0,Pit Bull Mix,Brown/White
Transfer,Cat,Intact Male,9.0,Domestic Shorthair Mix,Blue/White
Transfer,Cat,Neutered Male,18.0,Domestic Shorthair Mix,Black/White
Transfer,Cat,Intact Male,3.0,Domestic Shorthair Mix,Brown Tabby
Adoption,Cat,Spayed Female,364.0,Domestic Shorthair Mix,Blue Tabby
Transfer,Cat,Intact Male,9.0,Domestic Shorthair Mix,Orange Tabby
Transfer,Cat,Intact Female,9.0,Domestic Shorthair Mix,Brown Tabby
Transfer,Cat,Intact Male,208.0,Domestic Longhair Mix,Black/White
Adoption,Cat,Neutered Male,104.0,Domestic Shorthair Mix,Black/White
Return_to_owner,Dog,Neutered Male,624.0,other,Tricolor
Return_to_owner,Cat,Spayed Female,468.0,Domestic Shorthair Mix,White/Black
Transfer,Cat,Intact Female,3.0,Domestic Shorthair Mix,Black
Adoption,Dog,Spayed Female,22.5,German Shepherd Mix,Black/Brown
Euthanasia,Dog,Intact Male,312.0,other,Chocolate/White
Transfer,Cat,Intact Female,52.0,Domestic Shorthair Mix,Tortie
Adoption,Cat,Spayed Female,13.5,Domestic Shorthair Mix,Brown Tabby
Transfer,Cat,Intact Female,3.0,Domestic Shorthair Mix,Blue Tabby/White
Adoption,Dog,Neutered Male,104.0,other,other
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Orange Tabby/White
Transfer,Cat,Intact Male,1.0,Domestic Shorthair Mix,Black
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Calico
Transfer,Dog,Intact Male,52.0,Chihuahua Shorthair Mix,Tan
Return_to_owner,Dog,Spayed Female,208.0,other,Tan/Black
Adoption,Dog,Neutered Male,104.0,other,Brown/White
Transfer,Cat,Intact Male,52.0,Domestic Shorthair Mix,Orange Tabby/White
Euthanasia,Dog,Spayed Female,572.0,Yorkshire Terrier Mix,Brown/Black
Transfer,Cat,Intact Female,4.5,Domestic Shorthair Mix,Black
Adoption,Dog,Spayed Female,104.0,Dachshund Mix,Tan/White
Return_to_owner,Dog,Spayed Female,312.0,other,White
Transfer,Dog,Neutered Male,27.0,other,Black/White
Transfer,Dog,Intact Female,9.0,other,Buff
Adoption,Dog,Spayed Female,52.0,Chihuahua Shorthair Mix,Red
Adoption,Dog,Neutered Male,9.0,other,Brown
Transfer,Dog,Neutered Male,104.0,Pit Bull Mix,Brown Brindle/White
Adoption,Dog,Spayed Female,156.0,other,White
Return_to_owner,Cat,Intact Female,52.0,Domestic Shorthair Mix,Black
Return_to_owner,Dog,Spayed Female,208.0,Yorkshire Terrier Mix,other
Transfer,Dog,Spayed Female,104.0,other,Tan
Adoption,Cat,Spayed Female,13.5,other,Brown Tabby
Euthanasia,Cat,Intact Female,52.0,Domestic Shorthair Mix,Calico
Adoption,Dog,Neutered Male,9.0,other,Black
Transfer,Cat,Spayed Female,104.0,Domestic Shorthair Mix,Black/White
Adoption,Dog,Neutered Male,52.0,other,White
Transfer,Cat,Intact Male,104.0,Domestic Shorthair Mix,Blue Tabby
Euthanasia,Dog,Neutered Male,624.0,Pit Bull Mix,Brown Brindle
